HRV_mean;HRV_std;HRV_rmssd;HRV_cv;PPG_mean;HF;LF;VLF;HF/LF;PPG_std;EDA_mean;EDA_std;Theta;Alpha;BetaL;BetaH;Stage
958.0866660618944;72.76550763805857;0.752850916177449;7.5948773963375205;0.007274313683010264;1.0848420066977891e+42;5.617555947664697e+21;315672156190.921;1.931163688986087e+20;0.357272981749683;-0.010339616692692753;0.1260008554738163;0.027610429939680835;0.05298124775721479;0.05112111872919066;0.028895055334359335;Background
898.0138374769239;277.12043545955805;1.575591312795438;30.859261171092946;0.0035290139140615835;6.952410947217988e+45;5.7560189286255434e+23;765506234096.628;1.207850605327687e+22;0.3634538756468204;0.026446151732813616;0.2674658522063994;0.04169936688984166;0.08513576879471207;0.09941429088832424;0.0658350479150786;Cognitive
979.5044883549424;121.54734522780821;0.5523603986118718;12.409064651857232;0.0009432180810455913;1.7047723582522133e+46;1.087701799836185e+24;1093487856541.194;1.56731593025677e+22;0.3627070306889044;-0.013586054242818807;0.2617554343526293;0.048893114709991435;0.10666104748033942;0.12479805243520616;0.07725747692984533;Emotional
918.4043911571297;71.6577118185382;0.21283904976743337;7.802413893976939;0.0020301828849128042;1.0038558861509197e+43;4.1744286375367315e+22;314056303120.937;2.404774337556481e+20;0.3646490450025349;-0.06665810709550316;0.42672866381523333;0.0281113305259374;0.05820632379439223;0.06324625852271035;0.040134069353175504;Afterwards
802.8219916659604;39.69122447673768;0.22692390664668227;4.943963280623792;-0.0014844136919315411;6.839684994123511e+41;3.5795441641702566e+21;227001960213.897;1.9107698300207897e+20;0.1976190386037931;-0.005857233926473098;0.2991661047415441;0.03015415029335494;0.05772469051655224;0.05312720340433391;0.028730494764276613;Background
718.8723468651615;139.48474741083612;1.157233978395125;19.40327069459513;0.010412898091314049;1.0440196021831195e+48;3.703612497929202e+24;3605784774638.982;2.8189223434332325e+23;0.1699623391053075;-0.057636261629763964;0.4043425378876045;0.04093762640108948;0.09743170117527893;0.10890723303313507;0.06726943449210067;Cognitive
788.330323730129;64.59809632204463;0.20287393072061352;8.194292973075921;0.005076527131782945;8.234296320488164e+44;2.8771687634081927e+23;249477891945.186;2.8619441532981567e+21;0.3378824170107013;-0.0011597360680199729;0.37886224576126243;0.05494170563887985;0.11281682341525134;0.11528464625515834;0.06892672513010618;Emotional
790.6932758140911;35.831439220110504;0.13688077508477772;4.531648404777283;0.008208900790614638;1.0201819088482175e+42;6.106279748144944e+21;248522235047.051;1.6707094187064446e+20;0.2396817426455134;-0.031097241377160287;0.20266827926155487;0.031097209089536205;0.058051833204083955;0.04932810939941899;0.025270413787443144;Afterwards
689.6453032538906;43.16978607397686;0.30320405950493656;6.259708558920475;0.0009978134571854195;7.987721832631029e+41;4.37156113173675e+21;224883776141.845;1.8272012198666515e+20;0.34140068510053967;0.018406826488806552;0.3024220347836941;0.02927802916072199;0.0666133907064455;0.06781959963454263;0.040923169205815575;Background
698.240264339731;92.08904465778946;0.6057129069749131;13.188733070968139;-0.0036451610335689905;9.900328582806077e+47;2.4244644407755596e+24;3230460954081.902;4.083511564986728e+23;0.34564094039019266;0.038288376912400814;0.37827684359963104;0.038508004991426883;0.09631155243786618;0.10679792585938476;0.07071633326814772;Cognitive
746.2331717805994;60.573830786311646;0.3108909790319534;8.11727930048666;0.011283689576762805;7.657374475314737e+47;2.7904153275830865e+24;2651562821721.698;2.7441701597687104e+23;0.2658186423804514;0.01393107510532863;0.41882809217195127;0.03642152725890277;0.07841380717550833;0.07961909995081531;0.04640309987699529;Emotional
686.8399003960344;34.524338564433904;0.14117050463182337;5.026548187507314;-0.002907820606743684;7.935360724876644e+43;1.4573610724616816e+23;203720546733.809;5.445020369229938e+20;0.29944165273399553;-0.0012160452943397804;0.30699178219243634;0.032722877334226665;0.0784039890205696;0.08162201822454736;0.04942557589408353;Afterwards
689.6453032538906;43.16978607397686;0.30320405950493656;6.259708558920475;0.0031067996818672423;7.987721832631029e+41;4.37156113173675e+21;224883776141.845;1.8272012198666515e+20;0.39076464568068464;0.08826022883431286;0.28689099059348006;0.023408853505967147;0.059288306031673274;0.0497966621590311;0.024557859042911554;Background
676.1161773639936;113.76278844873919;1.2741579474554636;16.825923156027947;-0.0036979883354192745;3.728760161115007e+47;3.7577838651731997e+24;2854386192350.594;9.922763774874916e+22;0.4066749407267733;0.0676386392091303;0.3887362913302467;0.05061369838792825;0.12137966481036828;0.1412317505499983;0.08483509645060805;Cognitive
759.3659535529542;56.13947561703458;0.37527065384148034;7.392940828380147;-0.0009355159550945059;1.0445099707214117e+48;6.697581269407409e+24;3064904029564.922;1.5595331041258546e+23;0.35066424688536796;-0.04234947639895638;0.4134040582760635;0.03822110680277549;0.0902940213317916;0.09427881906368184;0.05115632868655634;Emotional
733.1684748130185;34.363913036711395;0.143780350244272;4.687041821523395;-0.00022448690410656742;8.676733273639298e+41;5.117032248731642e+21;216162658145.443;1.6956573364942147e+20;0.4212806105894172;0.052284549414864545;0.18924433208215588;0.021801061538989825;0.064557008639866;0.05564528197245605;0.028934481025396815;Afterwards
828.3935904980458;46.819827912921845;0.37131259866780686;5.651881961661833;0.004801677592726541;8.847768291830423e+41;4.83630912237861e+21;238560472719.514;1.8294463955767332e+20;0.37101863083200415;0.1620387035124031;0.3594582449427023;0.02702853247619617;0.059146904499826514;0.0584517124322994;0.03313398140886816;Background
690.8821447533812;276.89008802864817;1.7620716353511903;40.077760024828464;0.008671439635763532;5.77326488822511e+45;3.751336826931782e+23;910671134917.881;1.5389886737915409e+22;0.44835947794443637;-0.04889207156265556;0.4552167599624233;0.04125310794921596;0.10867516583081155;0.1401027699923672;0.09079663248833815;Cognitive
842.212302790852;82.92600173183517;0.5455717702116338;9.846211158046728;-0.004495625779775576;8.667693961852571e+43;1.0154925000390034e+23;255445520045.218;8.5354583726809e+20;0.38276058859747447;0.06945901536929754;0.3948296503259024;0.03630487927657715;0.07162382532496873;0.07125275276860503;0.0401547911434959;Emotional
814.0366195050487;45.80579596548275;0.34156761224476706;5.626994519403025;0.0004344997607426544;9.33604072308976e+44;2.7760469965922072e+23;326013136790.981;3.3630701261723617e+21;0.3838099091186987;-0.0438959811223415;0.30687728261073877;0.033294443571891104;0.08013360685185442;0.07203932434542049;0.03660756963926407;Afterwards
